smiles,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre
CC(C)=CCCC(O)(C)C=C,linalool,-2.399,1,154.253,1,0,4,20.23,-1.99
COP(=S)(OC)Oc1ccc(SC)c(C)c1,Fenthion,-4.265,1,278.335,0,1,5,27.69,-4.57
OC1CCCCC1,Cyclohexanol ,-1.261,1,100.161,1,1,0,20.23,-0.44
O=C1NC(=O)NC(=O)C1(C)CC=C,5-Allyl-5-methylbarbital,-1.013,1,182.179,2,1,2,75.27000000000001,-1.16
CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,Epiandrosterone,-3.882,1,290.447,1,4,0,37.3,-4.16
OCC(O)C(O)C(O)C(O)CO ,mannitol,0.647,1,182.172,6,0,5,121.38,0.06
Cc1ccc(cc1)c2ccccc2,4-Methylbiphenyl,-4.424,1,168.239,0,2,1,0.0,-4.62
CCNc1nc(Cl)nc(NC(C)C)n1,Atrazine,-3.069,1,215.688,2,1,4,62.73,-3.85
NC(=S)Nc1ccccc1,Phenylthiourea,-1.7009999999999998,1,152.22199999999998,2,1,1,38.05,-1.77
CCCC(=O)CCC,4-Heptanone,-1.62,1,114.188,0,0,4,17.07,-1.3
CC(=O)C(C)(C)C,"3,3-Dimethyl-2-butanone",-1.25,1,100.161,0,0,0,17.07,-0.72
Oc1ccc(Cl)cc1,4-Chlorophenol ,-2.761,1,128.558,1,1,0,20.23,-0.7
O=C1CCCCC1,Cyclohexanone,-0.996,1,98.145,0,1,0,17.07,-0.6
Cc1cccc(N)c1,m-Methylaniline,-1.954,1,107.156,1,1,0,26.02,-0.85
ClC(Cl)(Cl)C#N,Trichloroacetonitrile,-2.019,1,144.388,0,0,0,23.79,-2.168
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,norflurazon,-4.029,1,303.67100000000005,1,2,2,46.92,-4.046
CCCCCCCCC(=O)C,2-Decanone,-2.617,1,156.269,0,0,7,17.07,-3.3
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,Ipazine,-3.497,1,243.742,1,1,5,53.940000000000005,-3.785
CCOC(=O)c1ccc(N)cc1,Benzocaine,-2.383,1,165.19199999999998,1,1,2,52.32,-2.616
Clc1ccc(Cl)c(Cl)c1,"1,2,4-Trichlorobenzene",-4.083,1,181.449,0,1,0,0.0,-3.59
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,Triazolam,-3.948,1,343.2170000000001,0,4,1,43.07,-4.09
Oc1ccccc1O,"1,2-Benzenediol",-1.635,1,110.11199999999998,2,1,0,40.46,0.62
CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,Reverse Transcriptase inhibitor 1,-2.794,1,254.293,0,3,1,49.330000000000005,-2.62
CSC,Dimethyl sulfide,-0.758,1,62.137,0,0,0,0.0,-0.45
Cc1ccccc1Br,2-Bromotoluene,-3.667,1,171.03699999999998,0,1,0,0.0,-2.23
CCOC(=O)N,O-Ethyl carbamate,-0.218,1,89.09400000000001,1,0,1,52.32,0.85
CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,megestrol acetate,-4.417,1,384.5160000000002,0,4,2,60.440000000000005,-5.35
CC(C)C(O)C(C)C,"2,4-Dimethyl-3-pentanol",-1.6469999999999998,1,116.20399999999998,1,0,2,20.23,-1.22
c1ccc2ccccc2c1,Napthalene,-3.468,2,128.17399999999995,0,2,0,0.0,-3.6
CCNc1ccccc1,N-Ethylaniline,-2.389,1,121.18299999999996,1,1,2,12.03,-1.7
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,Phenytoin,-3.057,1,252.273,2,3,2,58.2,-4.097
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,"7,12-Dimethylbenz(a)anthracene",-6.297000000000001,1,256.348,0,4,0,0.0,-7.02
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,Dialifor,-5.026,1,393.85400000000016,0,2,8,55.84,-6.34
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,Methoxychlor,-5.537999999999999,1,345.6529999999999,0,2,4,18.46,-6.89
Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,TEFLUBENZURON,-5.462000000000001,1,381.1120000000001,2,2,2,58.2,-7.28
O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,3-Pentanoyloxymethylphenytoin,-3.81,1,366.417,1,3,7,75.71,-4.678
CN(C)C(=O)Nc1ccc(Cl)cc1,Monuron,-2.6710000000000003,1,198.653,1,1,1,32.34,-2.89
OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,Flutriafol,-3.569,1,301.296,1,3,4,50.94,-3.37
CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,triamcinolone diacetate,-3.876,1,478.51300000000026,2,4,4,127.20000000000002,-4.13
CCCCBr,1-Bromobutane,-2.303,1,137.01999999999998,0,0,2,0.0,-2.37
Brc1cc(Br)c(Br)cc1Br,"1,2,4,5-Tetrabromobenzene",-6.001,1,393.698,0,1,0,0.0,-6.98
CC(C)CC(=O)C,4-Methyl-2-pentanone,-1.1840000000000002,1,100.161,0,0,2,17.07,-0.74
CCSC(=O)N(CC)C1CCCCC1 ,cycloate,-3.35,1,215.362,0,1,3,20.31,-3.4
COc1ccc(Cl)cc1,4-Chloroanisole,-3.057,1,142.585,0,1,1,9.23,-2.78
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,Deltamethrin,-7.44,1,505.2060000000002,0,3,6,59.32000000000001,-8.402000000000001
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,Talbutal,-2.06,1,224.26,2,1,4,75.27000000000001,-2.016
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,Fenitrothion,-3.845,1,277.238,0,1,5,70.83000000000001,-4.04
Ic1cccc2ccccc12,1-Iodonapthalene,-4.888999999999999,1,254.07,0,2,0,0.0,-4.55
OCC(O)C(O)C(O)C(O)CO,Sorbitol,0.647,1,182.172,6,0,5,121.38,1.09
CCS,Ethanethiol,-0.968,1,62.137,1,0,0,0.0,-0.6
ClCC(Cl)Cl,"1,1,2-Trichloroethane",-1.961,1,133.405,0,0,1,0.0,-1.48
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,Pyrolan,-3.141,1,245.282,0,2,2,47.36000000000001,-2.09
NC(=O)c1ccccc1O,o-Hydroxybenzamide,-1.942,1,137.13799999999998,2,1,1,63.32000000000001,-1.82
Cc1ccccc1N(=O)=O,o-Nitrotoluene,-2.589,1,137.138,0,1,1,43.14,-2.33
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,"5,5-Diisopropylbarbital",-1.942,1,212.249,2,1,2,75.27000000000001,-2.766
CCc1ccccc1C,2-Ethyltoluene,-3.2960000000000003,1,120.19499999999996,0,1,1,0.0,-3.21
CCCCCCCCl,1-Chloroheptane,-3.003,1,134.65,0,0,5,0.0,-4.0
O=C1NC(=O)NC(=O)C1(CC)CC,Barbital,-1.265,1,184.195,2,1,2,75.27000000000001,-2.4
C(Cc1ccccc1)c2ccccc2,Bibenzyl ,-4.301,2,182.266,0,2,3,0.0,-4.62
ClC(Cl)C(Cl)Cl,"1,1,2,2-Tetrachloroethane",-2.549,1,167.85,0,0,1,0.0,-1.74
CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,RTI 23,-4.228,1,283.331,1,3,2,54.46,-5.153
Cc1ccc2c(ccc3ccccc32)c1,2-Methylphenanthrene,-4.87,1,192.261,0,3,0,0.0,-5.84
CCCCOC(=O)c1ccccc1C(=O)OCCCC ,dibutylphthalate,-4.378,1,278.348,0,1,8,52.60000000000001,-4.4
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,tetrachloroguaiacol,-4.299,1,261.919,1,1,1,29.46,-4.02
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,Dimecron,-2.426,1,299.6909999999999,0,0,8,65.07000000000001,0.523
CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,Equilin,-3.555,1,268.356,1,4,0,37.3,-5.282
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,Chlorimuron-ethyl (ph 7),-3.719,1,414.82700000000017,1,2,8,127.79,-4.5760000000000005
COc1ccc(cc1)N(=O)=O,p-Nitroanisole,-2.522,1,153.13699999999997,0,1,2,52.37,-2.41
CCCCCCCl,1-Chlorohexane,-2.648,1,120.623,0,0,4,0.0,-3.12
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,"2,2',3,3',4,4',5,5'-PCB",-8.468,1,429.77200000000016,0,2,1,0.0,-9.16
OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,Raffinose,0.496,1,504.4380000000001,11,3,8,268.67999999999995,-0.41
CCCCCCCCCCCCCCCCCCCCCCCCCC,hexacosane,-9.702,1,366.7180000000002,0,0,23,0.0,-8.334
CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,RTI 5,-3.471,1,253.30499999999995,0,3,1,36.44,-3.324
CC(Cl)Cl,"1,1-Dichloroethane",-1.5759999999999998,1,98.96,0,0,0,0.0,-1.29
Nc1ccc(cc1)S(N)(=O)=O,Sulfanilamide,-0.954,1,172.20899999999995,2,1,1,86.18,-1.34
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,Isopropalin,-5.306,1,309.36600000000004,0,1,8,89.51999999999998,-6.49
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,Lindane,-4.009,1,290.832,0,1,0,0.0,-4.64
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,Isofenphos,-4.538,1,345.4010000000002,1,1,8,56.790000000000006,-4.194
Clc1cccc(Cl)c1Cl,"1,2,3-Trichlorobenzene",-4.008,1,181.449,0,1,0,0.0,-4.0
ClC(Cl)(Cl)Cl,Tetrachloromethane,-2.607,1,153.823,0,0,0,0.0,-2.31
O=N(=O)c1cc(Cl)c(Cl)cc1,"3,4-Dichloronitrobenzene",-3.448,1,192.001,0,1,1,43.14,-3.2
OC1CCCCCCC1,Cyclooctanol,-2.14,1,128.215,1,1,0,20.23,-1.29
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,17a-Methyltestosterone,-4.073,1,302.4580000000001,1,4,0,37.3,-3.999
CCOc1ccc(NC(N)=O)cc1,Dulcin,-2.167,1,180.207,2,1,3,64.35,-2.17
C/C1CCC(\C)CC1,"trans-1,4-Dimethylcyclohexane",-3.305,1,112.216,0,1,0,0.0,-4.47
c1cnc2c(c1)ccc3ncccc23,"1,7-phenantroline",-2.994,2,180.21,0,3,0,25.78,-2.68
COC(C)(C)C,Methyl t-butyl ether ,-0.984,1,88.14999999999999,0,0,0,9.23,-0.24
COc1ccc(C=CC)cc1,Anethole,-3.254,1,148.20499999999998,0,1,2,9.23,-3.13
CCCCCCCCCCCCCCCCO,1-Hexadecanol,-4.94,1,242.44699999999992,1,0,14,20.23,-7.0
O=c1cc[nH]c(=O)[nH]1 ,uracil,-0.441,1,112.088,2,1,0,65.72,-1.4880000000000002
Nc1ncnc2nc[nH]c12 ,adenine,-1.255,1,135.13,2,2,0,80.47999999999999,-2.12
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,"2,2',3,4,5-PCB",-6.709,1,326.437,0,2,1,0.0,-7.21
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,Ancymidol,-2.181,1,256.30499999999995,1,3,4,55.24,-2.596
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,Benzo(b)fluoranthene,-6.007000000000001,2,252.316,0,5,0,0.0,-8.23
O=C(Nc1ccccc1)Nc2ccccc2,Carbanilide,-3.611,1,212.252,2,2,2,41.13,-3.15
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,phenobarbital,-2.272,1,232.239,2,2,2,75.27000000000001,-2.322
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,"2',3,4-PCB",-5.686,1,257.547,0,2,1,0.0,-6.29
CC(C)c1ccc(NC(=O)N(C)C)cc1,Isoproturon,-2.867,1,206.289,1,1,2,32.34,-3.536
CCN(CC)C(=O)CSc1ccc(Cl)nn1,Azintamide,-2.231,1,259.762,0,1,5,46.09,-1.716
CCC(C)(C)CO,"2,2-Dimethyl-1-butanol",-1.365,1,102.17699999999998,1,0,2,20.23,-1.04
CCCOC(=O)CCC,Ethyl pentanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-1.75
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,"2,4,6-Trinitrotoluene",-2.6060000000000003,1,227.132,0,1,3,129.42000000000002,-3.22
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,Bensulide,-4.99,1,397.52400000000006,1,1,10,64.63,-4.2
C1CCCCCC1,Cycloheptane,-2.9160000000000004,2,98.189,0,1,0,0.0,-3.51
CCCOC=O,Propyl formate,-0.757,1,88.10599999999998,0,0,3,26.3,-0.49
CC(C)c1ccccc1C,2-Isopropyltoluene,-3.585,1,134.22199999999995,0,1,1,0.0,-3.76
Nc1cccc(Cl)c1,m-Chloroaniline,-2.392,1,127.574,1,1,0,26.02,-1.37
CC(C)CC(C)C,"2,4-Dimethylpentane",-2.938,1,100.20499999999998,0,0,2,0.0,-4.26
o1c2ccccc2c3ccccc13,Dibenzofurane,-4.2010000000000005,2,168.195,0,3,0,13.14,-4.6
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,ethofumesate,-3.184,1,286.34900000000005,0,2,4,61.830000000000005,-3.42
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,Fluometuron,-3.065,1,232.205,1,1,1,32.34,-3.43
c3ccc2nc1ccccc1cc2c3,Acridine,-3.846,2,179.22199999999998,0,3,0,12.89,-3.67
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,Cortisone,-2.893,1,360.45000000000016,2,4,2,91.67,-3.11
OCC1OC(O)C(O)C(O)C1O,glucose,0.501,1,180.156,5,1,1,110.38,0.74
Cc1cccc(O)c1,3-Methylphenol,-2.313,1,108.14,1,1,0,20.23,-0.68
CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,Indapamide,-4.345,1,365.842,2,3,3,92.5,-3.5860000000000003
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,Lovastatin,-4.731,1,404.54700000000025,1,3,6,72.83,-6.005
O=N(=O)c1ccc(cc1)N(=O)=O,"1,4-Dinitrobenzene",-2.281,1,168.10799999999995,0,1,2,86.28,-3.39
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,Reposal,-2.781,1,262.309,2,3,2,75.27000000000001,-2.696
CCCCCCCCCC(=O)OCC,Ethyl decanoate,-3.671,1,200.322,0,0,9,26.3,-4.1
CN(C)C(=O)Nc1ccccc1,Fenuron,-1.847,1,164.208,1,1,1,32.34,-1.6
CCCOCC,Ethyl propyl ether,-1.072,1,88.14999999999999,0,0,3,9.23,-0.66
CC(C)O,2-Propanol,-0.261,1,60.096,1,0,0,20.23,0.43
Cc1ccc2ccccc2c1,2-Methylnapthalene,-3.802,1,142.201,0,2,0,0.0,-3.77
ClC(Br)Br,Chlorodibromethane,-2.54,1,208.28,0,0,0,0.0,-1.9
CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,Hexestrol,-4.854,1,270.372,2,2,5,40.46,-4.43
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,Malathion,-3.391,1,330.3640000000001,0,0,9,71.06,-3.37
ClCc1ccccc1,Benzylchloride,-2.887,1,126.58599999999996,0,1,1,0.0,-2.39
C/C=C/C=O,t-Crotonaldehyde,-0.604,1,70.09100000000001,0,0,1,17.07,0.32
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,Chlorbromuron,-3.938,1,293.548,1,1,2,41.57,-3.924
Cc1c2ccccc2c(C)c3ccccc13,"9,10-Dimethylanthracene",-5.228,1,206.288,0,3,0,0.0,-6.57
CCCCCC(=O)OC,Methyl hexanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-1.87
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,Dimefuron,-3.831,1,338.79500000000013,1,2,2,80.37,-4.328
CC(=O)Nc1ccc(F)cc1,p-Fluoroacetanilide,-2.181,1,153.156,1,1,1,29.1,-1.78
CCc1cccc(CC)c1N(COC)C(=O)CCl ,alachlor,-3.319,1,269.77199999999993,0,1,6,29.54,-3.26
C1CCC=CC1,Cyclohexene,-2.16,2,82.146,0,1,0,0.0,-2.59
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,Hydrocortisone ,-3.159,1,362.4660000000002,3,4,2,94.83,-3.09
c1cncnc1,Pyrimidine,-0.884,2,80.08999999999999,0,1,0,25.78,1.1
Clc1ccc(cc1)N(=O)=O,p-Chloronitrobenzene,-2.901,1,157.55599999999998,0,1,1,43.14,-2.92
CCC(=O)OC,Methyl propionate,-0.836,1,88.106,0,0,1,26.3,-0.14
Clc1ccccc1N(=O)=O,o-Chloronitrobenzene,-2.775,1,157.55599999999998,0,1,1,43.14,-2.55
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,Neburon,-4.157,1,275.179,1,1,4,32.34,-4.77
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,Buthidazole,-2.398,1,256.331,1,2,1,69.56,-1.877
O=N(=O)c1ccccc1,Nitrobenzene,-2.2880000000000003,1,123.11099999999996,0,1,1,43.14,-1.8
Ic1ccccc1,Iodobenzene,-3.8,1,204.01,0,1,0,0.0,-3.01
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,Metolazone,-3.777,1,365.8420000000001,2,3,2,92.5,-3.78
COc1ccccc1OCC(O)COC(N)=O,Methocarbamol,-1.4280000000000002,1,241.243,2,1,6,91.01,-0.985
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,butachlor,-4.347,1,311.85300000000007,0,1,9,29.54,-4.19
Oc1cccc(Cl)c1Cl,"2,3-Dichlorophenol",-3.144,1,163.003,1,1,0,20.23,-1.3
CCCC(=O)OC,Propyl butyrate,-1.1909999999999998,1,102.13299999999998,0,0,2,26.3,-1.92
CCC(=O)Nc1ccc(Cl)c(Cl)c1,Propanil,-3.644,1,218.083,1,1,2,29.1,-3.0
Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,Triamterene,-3.051,1,253.26900000000003,3,3,1,129.62,-2.404
CCCCCC(=O)OCC,Ethyl hexanoate,-2.254,1,144.21399999999997,0,0,5,26.3,-2.35
OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,chloralose,-1.887,1,309.529,3,2,2,88.38000000000001,-1.84
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,Amitraz,-5.533,1,293.41400000000004,0,2,4,27.96,-5.47
COc1nc(NC(C)C)nc(NC(C)C)n1,Prometon,-3.448,1,225.296,2,1,5,71.96000000000001,-2.478
CCCCCCC=C,1-Octene ,-3.073,1,112.216,0,0,5,0.0,-4.44
Cc1ccc(N)cc1,p-Methylaniline ,-1.954,1,107.156,1,1,0,26.02,-1.21
Nc1nccs1 ,aminothiazole,-1.226,1,100.146,1,1,0,38.91,-0.36
c1ccccc1(OC(=O)NC),Metolcarb,-1.947,1,151.165,1,1,1,38.33,-1.803
CCCC(O)CC,3-Hexanol,-1.324,1,102.177,1,0,3,20.23,-0.8
c3ccc2c(O)c1ccccc1cc2c3 ,9-anthrol,-4.148,1,194.233,1,3,0,20.23,-4.73
Cc1ccc2cc3ccccc3cc2c1,2-Methylanthracene,-4.87,1,192.261,0,3,0,0.0,-6.96
Cc1cccc(C)c1C,"1,2,3-Trimethylbenzene ",-3.312,1,120.195,0,1,0,0.0,-3.2
CNC(=O)Oc1ccc(N(C)C)c(C)c1,Aminocarb,-2.677,1,208.261,1,1,2,41.57,-2.36
CCCCCCCC(C)O,2-Nonanol,-2.387,1,144.258,1,0,6,20.23,-2.74
CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,Methyldymron,-3.863,1,268.36,1,2,3,32.34,-3.35
CCCC(=O)CC,3-Hexanone,-1.266,1,100.161,0,0,3,17.07,-0.83
Oc1c(Br)cc(C#N)cc1Br ,bromoxynil,-3.793,1,276.915,1,1,0,44.02,-3.33
Clc1ccc(cc1Cl)c2ccccc2 ,"3,4-PCB",-5.223,1,223.102,0,2,1,0.0,-6.39
CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,Mefenacet,-4.504,1,298.367,0,3,4,42.43000000000001,-4.873
Oc1cccc2ncccc12 ,5-hydroxyquinoline,-2.725,1,145.161,1,2,0,33.120000000000005,-2.54
CC1=C(SCCO1)C(=O)Nc2ccccc2,Carboxin,-2.927,1,235.308,1,2,2,38.33,-3.14
CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,Ethoxyzolamide,-3.085,1,258.324,1,2,3,82.28,-3.81
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Pentachlorophenol,-4.835,1,266.338,1,1,0,20.23,-4.28
ClCBr,Bromochloromethane,-1.519,1,129.384,0,0,0,0.0,-0.89
CCC1(CC)C(=O)NC(=O)N(C)C1=O ,metharbital,-1.658,1,198.222,1,1,2,66.48,-2.23
CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,deoxycorticosterone acetate,-4.472,1,372.5050000000002,0,4,3,60.440000000000005,-4.63
NC(=O)NCc1ccccc1 ,benzylurea,-1.509,1,150.18099999999998,2,1,2,55.120000000000005,-0.95
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,Chlortoluron,-3.048,1,212.68,1,1,1,32.34,-3.483
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,Linuron,-3.5810000000000004,1,249.097,1,1,2,41.57,-3.592
OC1CCCCCC1,Cycloheptanol,-1.7,1,114.188,1,1,0,20.23,-0.88
CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl ,Thiamphenicol,-1.936,1,356.2270000000001,3,1,6,103.70000000000002,-2.154
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O ,thiopental,-2.96,1,242.344,2,1,4,58.2,-3.36
CC(=O)Nc1nnc(s1)S(N)(=O)=O ,acetazolamide,-0.7929999999999999,1,222.251,2,1,2,115.04,-2.36
Oc1ccc(cc1)N(=O)=O,p-Nitrophenol,-2.318,1,139.11,1,1,1,63.37,-0.74
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,Aldrin,-5.511,1,364.914,0,4,0,0.0,-6.307
C1CCOC1,Tetrahydrofurane ,-0.62,2,72.107,0,1,0,9.23,0.49
Nc1ccccc1N(=O)=O,o-Nitroaniline,-2.277,1,138.126,1,1,1,69.16,-1.96
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,"2,2',3,3'-PCB",-6.079,1,291.992,0,2,1,0.0,-7.28
CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 ,phenylbutazone,-4.0760000000000005,1,308.38100000000003,0,3,5,40.620000000000005,-3.81
Cc1c(cccc1N(=O)=O)N(=O)=O,"2,6-Dinitrotoluene",-2.553,1,182.135,0,1,2,86.28,-3.0
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,Progesterone,-4.17,1,314.46900000000005,0,4,1,34.14,-4.42
CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,Chlorazine,-3.663,1,257.76899999999995,0,1,6,45.150000000000006,-4.4110000000000005
ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O ,captafol,-4.365,1,349.06600000000014,0,2,3,37.38,-5.4
c1(Br)c(Br)cc(Br)cc1,"1,2,4-tribromobenzene",-5.144,1,314.802,0,1,0,0.0,-4.5
OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O ,Oxazepam,-3.517,1,286.718,2,3,1,61.690000000000005,-3.952
O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,Secobarbital,-2.415,1,238.28699999999995,2,1,5,75.27000000000001,-2.356
c1(O)c(C)ccc(C(C)C)c1,Carvacrol,-3.224,1,150.22099999999998,1,1,1,20.23,-2.08
C1SC(=S)NC1(=O),rhodanine,-0.396,1,133.197,1,1,0,29.1,-1.77
Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O ,Morin,-2.7310000000000003,1,302.23800000000006,5,3,1,131.36,-3.083
ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,Kepone,-5.112,1,490.6390000000001,0,6,0,17.07,-5.259
CCN(CC)C(=S)SSC(=S)N(CC)CC,Disulfiram,-3.862,1,296.5520000000001,0,0,4,6.48,-4.86
C1CCCCC1,Cyclohexane,-2.477,2,84.162,0,1,0,0.0,-3.1
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,Dienochlor,-7.848,1,474.64,0,2,1,0.0,-7.278
CN(C)C=Nc1ccc(Cl)cc1C,chlordimeform,-3.164,1,196.681,0,1,2,15.6,-2.86
CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,Equilenin,-3.927,1,266.34,1,4,0,37.3,-5.24
CCCCCCCCO,1-Octanol,-2.105,1,130.23100000000002,1,0,6,20.23,-2.39
CCSCC,Diethyl sulfide,-1.598,1,90.191,0,0,2,0.0,-1.34
ClCCCl,"1,2-Dichloroethane",-1.374,1,98.96,0,0,1,0.0,-1.06
CCC(C)(C)Cl,2-Chloro-2-methylbutane,-2.278,1,106.596,0,0,1,0.0,-2.51
ClCCBr,1-Chloro-2-bromoethane,-1.7380000000000002,1,143.411,0,0,1,0.0,-1.32
Nc1ccc(cc1)N(=O)=O,p-Nitroaniline,-1.936,1,138.126,1,1,1,69.16,-2.37
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,Lactose,1.071,1,342.297,8,2,4,189.53,-0.244
CCN2c1ncccc1N(CC)C(=O)c3cccnc23 ,RTI 2,-3.125,1,268.32,0,3,2,49.330000000000005,-2.86
Clc1ccccc1,Chlorobenzene,-2.975,1,112.55899999999995,0,1,0,0.0,-2.38
CCCCCCCC=C,1-Nonene ,-3.427,1,126.243,0,0,6,0.0,-5.05
Brc1ccc(I)cc1,p-Bromoiodobenzene,-4.754,1,282.90599999999995,0,1,0,0.0,-4.56
CCC(C)(O)CC,3-Methyl-3-pentanol,-1.308,1,102.17699999999998,1,0,2,20.23,-0.36
CCCCCc1ccccc1,Pentylbenzene,-3.899,1,148.249,0,1,4,0.0,-4.64
NC(=O)NC1NC(=O)NC1=O ,allantoin,0.652,1,158.117,4,1,1,113.32,-1.6
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,Glafenine,-5.052,1,372.80800000000016,3,3,6,91.68,-4.571000000000001
ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,DDD,-6.007999999999999,1,320.04600000000005,0,2,3,0.0,-7.2
