selfies,Hepatobiliary disorders,Metabolism and nutrition disorders,Product issues,Eye disorders,Investigations,Musculoskeletal and connective tissue disorders,Gastrointestinal disorders,Social circumstances,Immune system disorders,Reproductive system and breast disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",General disorders and administration site conditions,Endocrine disorders,Surgical and medical procedures,Vascular disorders,Blood and lymphatic system disorders,Skin and subcutaneous tissue disorders,"Congenital, familial and genetic disorders",Infections and infestations,"Respiratory, thoracic and mediastinal disorders",Psychiatric disorders,Renal and urinary disorders,"Pregnancy, puerperium and perinatal conditions",Ear and labyrinth disorders,Cardiac disorders,Nervous system disorders,"Injury, poisoning and procedural complications"
[C][C][C][C][C][=Branch1][C][=O][C][=C][Ring1][#Branch1][C][C][C][C][Ring1][O][Branch2][Ring1][#Branch1][C][Branch2][Ring1][C][C][C][Branch1][=N][C][Ring1][=Branch1][C][C][C][Ring1][Branch1][Branch1][C][C][O][C][O][F],1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0
[C][C][=Branch1][C][=O][C@][Branch2][Ring1][P][C][C][C@@H1][C@@][Ring1][Branch1][Branch2][Ring1][#Branch1][C][C][C@H1][C@H1][Ring1][=Branch1][C][C][C][=C][C][=Branch1][C][=O][C][C][C@][Ring1][O][Ring1][#Branch1][C][C][O],0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0
[C][C@H1][C][C@@H1][C@H1][Branch2][Ring1][#Branch1][C][C][C@][Branch1][P][C@H1][Ring1][=Branch1][C][C][C@@][Ring1][Branch1][Branch1][=Branch1][C][=Branch1][C][=O][C][O][C][C@@][Branch1][=C][C][Ring2][Ring1][C][=C][C][=Branch1][C][=O][C][C][Ring1][#Branch1][C],1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
[C][C@][C][C][C@H1][C@H1][Branch1][#Branch2][C@@H1][Ring1][=Branch1][C][C][C@@H1][Ring1][=Branch2][O][C][C][C][=C][C][=Branch1][C][=O][C][C][C@H1][Ring1][S][Ring1][#Branch1],1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
[C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][C][C][C][Ring1][Branch1][Branch2][Ring1][=Branch1][C][C][C][C][Ring1][=Branch1][C][C][C][=C][C][=Branch1][C][=O][C][C][C][Ring1][O][Ring1][#Branch1][C],1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1
[C][C][=Branch1][C][=O][C][C][C][C][C][Ring1][Branch1][Branch2][Ring1][#Branch1][C][C][C][C][Ring1][=Branch1][C][C][C][=C][C][=Branch1][C][=O][C][C][C][Ring1][O][Ring1][#Branch1][C][C],1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C@H1][C][C][C@@H1][C@@][Ring1][Branch1][Branch2][Ring1][#Branch1][C][C][C@H1][C@H1][Ring1][=Branch1][C][C][C][=C][C][=Branch1][C][=O][C][C][C@][Ring1][O][Ring1][#Branch1][C][C],1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
[C][C][C][C][C][C][C][C][Branch2][Ring1][P][C][Ring1][Branch1][Branch2][Ring1][#Branch2][C][C][Branch2][Ring1][Ring2][C][Ring1][=Branch2][C][Branch1][=N][C][Ring1][=N][=C][C][=Branch1][C][=O][C][C][Ring1][#Branch1][C][O][C][C][=Branch1][C][=O][C],0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
[C][C][C][C][C][C][Branch1][=C][C][Ring1][=Branch1][C][C][C][Ring1][=Branch2][Branch1][Ring1][C][#C][O][C][C][C][=C][C][=Branch1][C][=O][C][C][C][Ring2][Ring1][C][Ring1][#Branch1],1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1
[C][C][C][C][C][C][C][Branch1][=C][C][Ring1][=Branch1][C][C][C][Ring1][=Branch2][Branch1][Ring1][C][#C][O][C][C][C][=C][C][=Branch1][C][=O][C][C][C][Ring2][Ring1][C][Ring1][#Branch1],0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
[C][N][C][=Branch1][C][=O][C][N][=C][Branch1][=C][C][=C][Ring1][Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][C][=C][C][=C][C][=C][Ring1][=Branch1],1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][N][C][=Branch1][C][=O][C][N][=C][Branch2][Ring1][C][C][=C][Ring1][Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][C][=C][C][=C][Ring1][=Branch1][F],0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0
[C][=C][C][=C][Branch2][Ring1][S][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=N][C][Branch2][Ring1][Ring1][C][=Branch1][C][=O][N][C][=C][Ring1][Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][O][Cl],1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][N][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][C][=Branch1][#Branch2][=N][C][Branch1][Branch1][C][Ring1][N][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=N][C][Branch2][Ring1][Ring1][C][=Branch1][C][=O][N][C][=C][Ring1][Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][O],1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0
[C][C][N][Branch1][Ring1][C][C][C][C][N][C][=Branch1][C][=O][C][N][=C][Branch1][=C][C][=C][Ring1][Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][C][=C][C][=C][C][=C][Ring1][=Branch1][F],0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0
[C][C][=Branch1][C][=O][N][C][=C][Branch1][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=Branch1][Ring2][=N][Ring1][#C][C][=C][C][=C][C][=C][Ring1][=Branch1],1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
[C][C][=Branch1][C][=O][N][C][=C][Branch1][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=Branch1][Ring2][=N][Ring1][#C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][N][C][=C][Branch1][#Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][C][=Branch1][#Branch2][=N][C][Branch1][Branch1][C][Ring1][N][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1],1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=N][C][Branch2][Ring1][Ring1][C][=Branch1][C][=O][N][C][=C][Ring1][Branch2][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][C][=Branch1][C][=O][O],0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
[C][=C][N][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][N],1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1
[C][=C][C][=Branch1][=Branch1][=C][N][=C][Ring1][=Branch1][C][C][Branch1][C][O][Branch1][=Branch2][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O],1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][=C][C][=Branch1][=Branch1][=C][N][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][O][N+1][=Branch1][C][=O][O-1],1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0
[C][N][C][C][C][=C][C][=C][C][=N][Ring1][=Branch1],0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1
[C][C][C][=N][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=S][N],1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0
[C][=C][C][=Branch1][=Branch1][=C][N][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1],1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][C][Branch1][C][C][Branch1][C][C][N][C][C][Branch1][S][C][=N][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][O][O],0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1
[C][C][=N][C][=C][Branch1][#Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][C][O][C][O],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[C][=C][N][=C][C][=C][Ring1][=Branch1][N],0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1
[C][C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][Branch1][S][C][C][N][Branch1][=Branch1][C][Branch1][C][C][C][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0
[C][C][Branch1][C][C][C][=Branch1][C][=O][O][C][=C][Branch1][O][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][O][C@H1][Branch1][S][C][C][N][Branch1][=Branch1][C][Branch1][C][C][C][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][C][N][Branch1][C][C][C],0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0
[C][=C][Branch2][Ring2][Ring2][C][=Branch2][Ring1][#C][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][C][C][=C][Branch1][=C][C][=Branch1][#Branch2][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][O][O][Cl],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[C][C][C][=Branch1][C][=O][C][Branch1][O][C][C][Branch1][C][C][N][Branch1][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][=C][C][=C][Branch2][Ring1][#Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][C][Branch1][C][Cl][Cl][Cl],1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][C][C][=Branch1][C][=O][N],1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][N][Branch1][C][C][C][C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][=C][C][N].[C][C][Branch1][Ring2][O][Ring1][Ring1][C][Cl],0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
[C][=C][C][N].[C][C][Branch1][Ring2][O][Ring1][Ring1][C][Cl].[Cl],0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1
[C][C@H1][C@H1][Branch1][Ring2][O][Ring1][Ring1][P][=Branch1][C][=O][Branch1][C][O][O-1].[C][Branch1][O][C][Branch1][Ring1][C][O][Branch1][Ring1][C][O][NH3+1][O],1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1
[C][C][Branch1][Ring2][O][Ring1][Ring1][C][Cl].[C][Branch1][N][C][N][C][C][N][C][C][N][C][C][N][N],1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0
[C][C][C][C][C][C][C][C][C][C][N][C][C][=C].[C][N+1][Branch1][C][C][Branch1][C][C][C][C][C][C][C][C][N][C][C][=C].[C][=C][C][N].[C][C][Branch1][Ring2][O][Ring1][Ring1][C][Cl].[Cl].[Cl-1],0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1
[C][=C][C][N].[C][C][Branch1][Ring2][O][Ring1][Ring1][C][Cl].[C][=Branch1][C][=O][Branch1][C][O][O],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
[C][C][C][Branch1][Ring2][O][Ring1][Ring1][P][=Branch1][C][=O][Branch1][C][O][O],1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1
[C][C][Branch2][Ring1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#C][C][=Branch1][C][=O][N][O],1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0
[C][N][Branch1][C][C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#C],1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][C][=Branch1][C][=O][O][C@H1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][O][C][=C][C][=C][C][=C][Ring1][#C][Ring1][=Branch1][C][=Branch1][C][=O][N],1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][N][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#C],1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1
[C][N][Branch1][C][C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][Ring1][O][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][C][Branch2][Ring1][#Branch1][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#C][C][N][Branch1][C][C][C],1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1
[C][=N][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=N][Ring1][=Branch1][N][N][=C][N][Ring1][Branch2][C][C][Branch1][=N][C][Branch1][=Branch2][C][Branch1][Ring2][O][Ring1][Branch1][C][O][O][O],0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1
[C][=N][C][=C][Branch2][Ring1][Branch1][N][Ring1][Branch1][C][C][Branch1][=N][C][Branch1][=Branch2][C][Branch1][Ring2][O][Ring1][Branch1][C][O][O][O][N][=C][Branch1][=Branch1][N][=C][Ring1][S][N][F],1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
[C][=N][C][=C][Branch2][Ring1][=C][N][Ring1][Branch1][C][C][Branch2][Ring1][Branch1][C][Branch1][P][C][Branch1][Ring2][O][Ring1][Branch1][C][O][P][=Branch1][C][=O][Branch1][C][O][O][O][O][N][=C][Branch1][#Branch1][N][=C][Ring2][Ring1][Ring2][N][F],1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
[C][C][Branch2][Ring1][N][C][Branch2][Ring1][=Branch1][O][C][Ring1][Branch1][N][C][=N][C][=C][Ring1][Branch1][N][=C][Branch1][=Branch1][N][=C][Ring1][=Branch1][N][Cl][C][O][O],1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1
[C][=N][C][=C][Branch2][Ring1][Branch1][N][Ring1][Branch1][C@H1][C@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][Branch1][C][O][O][F][N][=C][Branch1][=Branch1][N][=C][Ring1][S][N][Cl],1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][O][C][=N][C][=Branch2][Ring1][N][=N][C][=C][Ring1][=Branch1][N][=C][N][Ring1][Branch1][C@H1][C@@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][Branch1][C][O][O][O][N],1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1
[C][C][C][C][C][C][Branch1][#Branch2][C][Ring1][=Branch1][C][C][C][Ring1][=Branch2][O][C][C][C][=C][Ring1][O][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O],1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
[C][C][C][C][C][=Branch1][C][=O][O][C][C][C][C][C][Ring1][Branch1][Branch2][Ring1][=Branch1][C][C][C][C][Ring1][=Branch1][C][C][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C],1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0
[C][C@][C][C][C@H1][C@H1][Branch1][#Branch2][C@@H1][Ring1][=Branch1][C][C][C@@H1][Ring1][=Branch2][O][C@@H1][Branch1][#C][C][C][=C][Ring1][O][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][C][C][C][C][C][C][C][C][S][=Branch1][C][=O][C][C][C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][C][F][F],1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1
[C][C][C][C][C][C][Branch1][=N][C][Ring1][=Branch1][C][C][Branch1][Branch1][C][Ring1][=Branch2][O][O][C][C][C][=C][Ring1][N][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O],1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0
[C][C][C][C][C][C][Branch2][Ring1][C][C][Ring1][=Branch1][C][C][C][Ring1][=Branch2][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C][C][=C][Ring1][#C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][Cl][C][C][Cl],0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0
[C][C][C][C][C][C][Branch1][#Branch2][C][Ring1][=Branch1][C][C][C][Ring1][=Branch2][O][C][C][C][=C][Ring1][O][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][Cl][C][C][Cl],0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0
[C][C][C][C][=Branch1][C][=O][O][C][O][C][=Branch1][C][=O][C][=C][Branch2][Ring2][C][N][C][=Branch2][Ring1][N][=C][Branch2][Ring1][C][C][Ring1][=Branch1][C][=C][Branch1][#Branch2][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][Cl][Cl][C][=Branch1][C][=O][O][C][C][C],0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1
[C][C][=C][Branch2][Ring1][P][C][Branch1][P][C][=Branch1][Branch2][=C][Branch1][Ring2][N][Ring1][=Branch1][C][C][=Branch1][C][=O][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O][C],1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][C][=C][Branch2][Ring2][Branch2][C][Branch2][Ring1][Branch1][C][=Branch1][Branch2][=C][Branch1][Ring2][N][Ring1][=Branch1][C][C][=Branch1][C][=O][O][C][Branch1][C][C][C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O][C][C][O][C],1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0
[C][C][=C][Branch2][Ring2][#Branch1][C][Branch2][Ring1][=Branch1][C][=Branch1][Branch2][=C][Branch1][Ring2][N][Ring1][=Branch1][C][C][=Branch1][C][=O][O][C][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O][C],1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][C][O][C][=Branch1][C][=O][C][=C][Branch2][Ring2][C][N][C][=Branch2][Ring1][N][=C][Branch2][Ring1][C][C][Ring1][=Branch1][C][=C][Branch1][#Branch2][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][Cl][Cl][C][=Branch1][C][=O][O][C][C][C],1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][C][O][C][=Branch1][C][=O][C][=C][Branch2][Ring1][N][N][C][=Branch2][Ring1][=Branch1][=C][Branch1][=N][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][=Branch1][C][=O][O][C][C][C][O][C][C][N],1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][C@][C][C@@H1][Branch2][Branch1][=Branch1][C@][Branch2][Ring2][P][C@H1][Branch2][Ring1][N][C@@H1][Ring1][=Branch1][C][C@@H1][C@][Ring1][=Branch2][Branch1][N][O][C][Branch1][Ring2][O][Ring1][Branch1][Branch1][C][C][C][C][=Branch1][C][=O][C][O][C][C][C][=C][C][=Branch1][C][=O][C][=C][C@@][Ring1][#Branch1][Ring2][Ring1][Branch2][C][F][O],1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
[C][C][Branch2][Branch1][#Branch2][O][C][C][C][C][C][C][Branch2][Ring2][#C][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][Branch2][Ring1][S][C][Ring1][O][C][Branch2][Ring1][Branch2][C][C][Ring1][#C][Branch1][P][C][Ring2][Ring1][C][Branch1][Branch1][O][Ring2][Ring1][Branch1][C][=Branch1][C][=O][C][O][C][O][C][F][C],0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1
[C][C][Branch2][Branch1][=C][O][C][C][C][C][C][C][Branch2][Branch1][Ring1][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][Branch2][Ring2][Ring2][C][Ring1][O][Branch2][Ring1][=N][C][Branch2][Ring1][Branch2][C][C][Ring1][#C][Branch1][P][C][Ring2][Ring1][C][Branch1][Branch1][O][Ring2][Ring1][Branch1][C][=Branch1][C][=O][C][O][C][O][F][C][F][C],0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1
[C][C][Branch2][Branch1][=Branch1][O][C@@H1][C][C@H1][C][C][C][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][Branch2][Ring1][S][C@H1][Ring1][O][C][Branch2][Ring1][Branch2][C][C][Ring1][#C][Branch1][P][C@@][Ring2][Ring1][C][Branch1][Branch1][O][Ring2][Ring1][Branch1][C][=Branch1][C][=O][C][O][C][O][C][C],0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0
[C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][C][C][Branch2][Ring2][O][C][C][C][Ring1][Branch1][Branch2][Ring2][C][C][C][Branch2][Ring1][N][C][Branch2][Ring1][#Branch1][C][Ring1][=Branch1][C][C][Branch1][#C][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][Ring1][O][C][F][F][O][C][O][C][Branch1][Branch1][O][Ring2][Ring1][#Branch2][Branch1][C][C][C],0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0
[C][C][C][C][O][C][C][C][C][C][C][C][=C][C][=Branch1][C][=O][C][=C][C][Ring1][#Branch1][Branch2][Ring1][S][C][Ring1][O][C][Branch2][Ring1][Branch2][C][C][Ring1][#C][Branch1][P][C][Ring2][Ring1][C][Branch1][Branch1][O][Ring2][Ring1][Branch1][C][=Branch1][C][=O][C][O][C][O][C],0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
[C][C][Branch2][Ring1][#Branch1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O],1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
[C][C][Branch1][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1
