selfies,lipo
[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][C][C][=Branch1][C][=O][O][C][Ring1][#Branch2][=C][Ring1][=C],2.0
[O][C][=Branch1][C][=O][C][=C][Branch1][Ring1][C][#N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][O][C][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2],1.26
[C][C][C][=C][Branch1][#Branch2][C][=Branch1][C][=O][C][=Branch1][C][=O][N][C][=C][Branch1][Branch2][O][C][C][=Branch1][C][=O][N][C][=C][C][=C][Ring1][O][N][Ring2][Ring1][Ring1][C][C][=C][C][=C][C][=C][Ring1][=Branch1],2.1
[C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][N][Ring1][=Branch2][C][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2],1.66
[O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch2][Ring1][Branch2][=C][C][=C][Ring1][=Branch1][N][Ring1][=Branch2][C][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][N+1][=Branch1][C][=O][O-1],1.79
[O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch2][Ring1][Branch2][=C][C][=C][Ring1][=Branch1][N][Ring1][=Branch2][C][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][C][Branch1][C][F][Branch1][C][F][F],3.07
[O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][=Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0.78
[O][C][=Branch1][C][=O][C][=C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][S][Ring1][=Branch1],1.19
[C][N][Branch1][C][C][C][C][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][=Branch2][N][C][=N][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][N][=C][C][=C][C][=C][N][Ring1][=Branch2][Ring1][=Branch1][C][=C][Ring2][Ring1][=Branch1],1.9
[C][N][Branch1][C][C][C][C][C][N][Branch1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][=Branch2][N][C][=N][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][N][=C][C][=C][C][=C][N][Ring1][=Branch2][Ring1][=Branch1][C][=C][Ring2][Ring1][=Branch1],2.16
[C][N][Branch1][C][C][C][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][=Branch2][N][C][=N][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][N][=C][C][=C][C][=C][N][Ring1][=Branch2][Ring1][=Branch1][C][=C][Ring2][Ring1][=Branch1],2.7
[C][C][N][=C][C][=C][C][=C][N][Ring1][=Branch1][C][=Ring1][=Branch2][C][=C][C][=N][C][Branch1][=N][N][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][=N][Ring1][=C],2.7
[C][O][C][C][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][=Branch2][N][C][=N][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][N][=C][C][=C][C][=C][N][Ring1][=Branch2][Ring1][=Branch1][C][=C][Ring2][Ring1][=Branch1],3.41
[C][O][C][=C][C][=Branch2][Ring1][P][=C][C][=C][Ring1][=Branch1][N][C][=N][C][=C][Branch1][C][Cl][C][=Branch1][Ring2][=N][Ring1][#Branch1][C][=C][N][=C][C][=C][C][=C][N][Ring1][=Branch2][Ring1][=Branch1][C][Branch1][Ring1][C][O][C][O],3.1
[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][=Branch2][N][C][=N][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][=C][N][=C][C][=C][C][=C][N][Ring1][=Branch2][Ring1][=Branch1][C][=C][Ring2][Ring1][=Branch1],2.7
[C][C][N][Branch2][Branch1][Ring1][C][C][C][N][Branch2][Ring2][#Branch1][C][C][C@H1][Branch2][Ring1][Ring1][C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][C][Branch1][C][C][=C][C][Branch1][C][C][=C][Ring1][Branch2][C][C][Ring2][Ring1][O][C][=Branch1][C][=O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C],1.93
[C][C][N][Branch2][Branch1][Ring1][C][C][C][N][Branch2][Ring2][#Branch1][C][C][C@H1][Branch2][Ring1][Ring1][C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][Branch2][C][C][Ring2][Ring1][O][C][=Branch1][C][=O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C],2.6
[C][C][N][Branch2][Branch1][#Branch1][C][C][C][N][Branch2][Ring2][O][C][C][C@H1][Branch2][Ring1][Ring1][C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][C][C][Ring2][Ring1][=N][C][=Branch1][C][=O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C],1.9
[C][C][N][Branch2][Branch1][Ring2][C][C][C][N][Branch2][Ring2][Branch2][C][C][C@H1][Branch2][Ring1][#Branch2][C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][N][C][=Branch1][C][=O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C],3.39
[C][C][N][Branch2][Ring2][S][C][C][C][N][Branch2][Ring2][Ring2][C][C][C@H1][Branch2][Ring1][Ring1][C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C][Ring2][Ring1][#Branch2][C][=Branch1][C][=O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C],1.44
[C][C][N][Branch2][Ring2][=C][C][C][C][N][Branch2][Ring2][C][C][C][C][Branch2][Ring1][Ring2][C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][#Branch2][C][=Branch1][C][=O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C],1.63
[C][C][N][Branch2][Ring2][=N][C][C][C][N][Branch2][Ring1][P][C][C][C@H1][Branch2][Ring1][Ring1][C][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][=Branch2][C][=Branch1][C][=O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C],1.05
[C][C][Branch1][C][C][C][C@H1][Branch1][Ring1][C][O][N][C][=N][C][Branch1][O][S][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][N][C][=Branch1][C][=O][S][C][Ring2][Ring1][C][=Ring1][=Branch1],4.2
[C][C@H1][Branch1][Ring1][C][O][N][C][=N][C][Branch1][N][S][C][C][=C][C][=C][C][=C][Ring1][=Branch1][F][=N][C][N][C][=Branch1][C][=O][S][C][Ring2][Ring1][Ring1][=Ring1][=Branch1],3.0
[C][C@H1][Branch1][Ring1][C][O][N][C][=N][C][Branch1][O][S][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][N][C][=Branch1][C][=O][S][C][Ring2][Ring1][C][=Ring1][=Branch1],2.86
[C][C][C@H1][Branch1][Ring1][C][O][N][C][=N][C][Branch1][O][S][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][N][C][=Branch1][C][=O][S][C][Ring2][Ring1][C][=Ring1][=Branch1],3.22
[C][C][C][C@H1][Branch1][Ring1][C][O][N][C][=N][C][Branch2][Ring1][C][S][C@@H1][Branch1][C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][#N][=N][C][N][C][=Branch1][C][=O][S][C][Ring2][Ring1][Branch1][=Ring1][=Branch1],3.7
[C][C][Branch1][C][C][C][C@H1][Branch1][Ring1][C][O][N][C][=N][C][Branch1][=C][S][C@@H1][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][N][C][=Branch1][C][=O][S][C][Ring2][Ring1][Ring1][=Ring1][=Branch1],4.3
[C][C@H1][Branch1][Ring1][C][O][N][C][=N][C][Branch1][#C][S][C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][F][=N][C][N][C][=Branch1][C][=O][S][C][Ring2][Ring1][Ring2][=Ring1][=Branch1],3.53
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][Branch1][=C][C][=N][N][Ring1][Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][C][C][C][C][Ring1][=Branch1],0.8
[C][N][Branch1][=Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][=Branch1][C][=O][C][C][=N][N][Branch2][Ring1][#Branch1][C][=Ring1][Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],2.01
[C][N][Branch1][=Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][=Branch1][C][=O][C][C][Branch1][C][C][=N][N][Branch2][Ring1][#Branch1][C][=Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],1.69
[C][C][C][C][C][C][C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][Branch1][C][C][=N][N][Branch2][Ring1][#Branch1][C][=Ring1][=Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],1.94
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][Branch1][=C][C][=Branch1][C][=O][N][C][C][C][C][C][C][Ring1][=Branch1][C][Branch1][C][C][=N][N][Ring1][#C][C][=C][C][=C][C][=C][Ring1][=Branch1],1.68
[C][C][C][C][C][C][C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][=N][N][Branch2][Ring1][#Branch1][C][=Ring1][Branch1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],1.34
[C][C@@H1][Branch2][Ring1][#Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],3.14
[C][C@H1][Branch2][Ring1][#Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],2.91
[C][O][C][=C][C][=C][Branch1][Ring1][O][C][C][Branch2][Ring1][Branch2][C][N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring1][=Branch2],3.52
[C][O][C][=C][C][=C][Branch2][Ring1][=Branch2][O][C][=N][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][=C][Ring2][Ring1][Branch2],3.59
[Cl][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1],3.68
[O][=C][Branch1][O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][N][=C][Ring1][=Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1],3.0
[C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][Branch2][=C][N][Ring1][=Branch1][C][C][O][C][C][=C][Branch1][#Branch1][N][C][C][C][Ring1][Ring1][N][N][=C][C][Branch1][Ring1][C][#N][=C][Ring1][#Branch1][N][=Ring1][#C],2.71
[C][O][C][=Branch1][C][=O][C][C][N][C][=C][Branch2][Ring1][#Branch2][C][C][=C][Branch1][#Branch1][N][C][C][C][Ring1][Ring1][N][N][=C][C][Branch1][Ring1][C][#N][=C][Ring1][#Branch1][N][=Ring1][#C][C][=C][C][Branch1][#Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][Ring2][Ring1][N][Ring1][#Branch2],2.72
[C][C][=Branch1][C][=O][N][C][=C][C][=C][NH1][C][=C][Branch2][Ring1][#Branch2][C][C][=C][Branch1][#Branch1][N][C][C][C][Ring1][Ring1][N][N][=C][C][Branch1][Ring1][C][#N][=C][Ring1][#Branch1][N][=Ring1][#C][C][Ring2][Ring1][Ring2][=C][Ring2][Ring1][Branch2],2.65
[C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][=Branch2][=C][N][Ring1][=Branch1][C][C][C][O][C][C][=C][Branch1][#Branch1][N][C][C][C][Ring1][Ring1][N][N][=C][C][Branch1][Ring1][C][#N][=C][Ring1][#Branch1][N][=Ring1][#C],2.48
[C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][N][=C][N][Ring1][=Branch1][C][C][C][=Branch1][C][=O][O][C][C][=C][Branch1][#Branch1][N][C][C][C][Ring1][Ring1][N][N][=C][C][Branch1][Ring1][C][#N][=C][Ring1][#Branch1][N][=Ring1][#C],-0.87
[C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][=Branch1][=C][N][Ring1][=Branch1][C][C][C][=C][Branch1][#Branch1][N][C][C][C][Ring1][Ring1][N][N][=C][C][Branch1][Ring1][C][#N][=C][Ring1][#Branch1][N][=Ring1][#C],2.94
[N][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2],0.4
[F][C][Branch1][C][F][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2],2.02
[C][S][C][=N][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][NH1][Ring1][#Branch2],3.22
[O][C][=Branch1][C][=O][C][=C][C][=C][NH1][C][=Branch1][Branch2][=N][C][Ring1][Branch1][=C][Ring1][=Branch2][C][Branch1][C][F][Branch1][C][F][F],-1.08
[F][C][=C][C][NH1][C][=N][C][=Ring1][Branch1][C][=C][Ring1][=Branch2][Cl],2.35
[C][C][C][S][C][=C][C][=C][N][=C][Branch1][Branch2][N][C][=Branch1][C][=O][O][C][NH1][C][Ring1][#Branch2][=C][Ring1][=C],3.24
[C][N][Branch2][Ring2][C][C][C][C][N][Branch2][Ring1][=Branch1][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1],3.4
[C][O][C][=C][C][=C][Branch2][Ring2][=C][C][N][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][=C][C][C][C][N][Branch2][Ring1][=Branch1][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Branch1][C][=C][Ring2][Ring2][Ring1],3.6
[C][C][N][Branch2][Ring2][C][C][C][C][N][Branch2][Ring1][=Branch1][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],3.9
[C][C][N][Branch2][Ring2][C][C][C][C][N][Branch2][Ring1][=Branch1][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1],4.0
[C][C][N][Branch2][Ring2][C][C][C][C][N][Branch2][Ring1][=Branch1][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][F],4.3
[C][C][N][Branch2][Ring2][C][C][C][C][N][Branch2][Ring1][=Branch1][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][Branch1][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C],2.86
[O][=C][Branch1][O][N][C][Branch1][Branch1][C][C][Ring1][Ring1][C][#N][C@@H1][C][C][C][C][C@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=N][C][=C][S][Ring1][Branch1],1.3
[C][C][Branch1][C][C][Branch1][Ring1][C][#N][C][=C][N][=C][Branch1][Ring2][S][Ring1][Branch1][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][C@@H1][C][C][C][C][C@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][Branch1][C][C][Ring1][Ring1][C][#N],1.9
[C][C][C][=C][S][C][=Branch1][Ring2][=N][Ring1][Branch1][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][C@@H1][C][C][C][C][C@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][Branch1][C][C][Ring1][Ring1][C][#N],2.1
[C][C][S][C][=Branch1][=N][=N][C][=Ring1][Branch1][C][Branch1][C][F][Branch1][C][F][F][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][C@@H1][C][C][C][C][C@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][Branch1][C][C][Ring1][Ring1][C][#N],2.87
[F][C][Branch1][C][F][Branch1][C][F][C][=C][S][C][=Branch1][Ring2][=N][Ring1][Branch1][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][C@@H1][C][C][C][C][C@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][Branch1][C][C][Ring1][Ring1][C][#N],2.4
[O][=C][Branch1][O][N][C][Branch1][Branch1][C][C][Ring1][Ring1][C][#N][C@@H1][C][C][C][C][C@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=N][C][=C][Branch1][Ring1][C][#N][S][Ring1][#Branch1],1.2
[C][C@@H1][C][N][Branch2][Ring1][=C][C][C][N][Ring1][=Branch1][C][=N][C][=C][Branch1][#C][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#N][C][=N][Ring1][S][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C],2.89
[C][C@H1][C][N][Branch2][Ring2][=Branch1][C][C][N][Ring1][=Branch1][C][=N][C][=C][Branch2][Ring1][Branch1][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=N][Ring2][Ring1][C][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C],3.5
[C][C][Branch1][C][C][Branch1][C][C][O][C][=Branch1][C][=O][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=N][C][=C][Branch2][Ring1][Branch1][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=N][Ring2][Ring1][C],3.27
[C][C@@H1][C][N][Branch2][Ring2][#Branch1][C][C][N][Ring1][=Branch1][C][=N][C][=C][Branch2][Ring1][=Branch1][O][C][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][F][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=N][Ring2][Ring1][Ring1][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C],3.7
[C][C@@H1][C][N][Branch2][Ring2][=Branch1][C][C][N][Ring1][=Branch1][C][=N][C][=C][Branch2][Ring1][Branch1][O][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=N][Ring2][Ring1][C][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C],3.6
[C][C@@H1][C][N][Branch2][Ring2][Branch2][C][C][N][Ring1][=Branch1][C][=N][C][=C][Branch2][Ring1][#Branch1][O][C][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][C][#N][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=N][Ring2][Ring1][Ring2][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C],3.3
[F][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][C@@H1][C][C][C][C][C@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][Branch1][C][C][Ring1][Ring1][C][#N],2.12
[C][O][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][O][C][N][C][C][N][Branch1][Branch2][C@H1][Branch1][C][C][C][Ring1][#Branch1][C][=Branch1][C][=O][C@@H1][C][C][C][C][C@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][Branch1][C][C][Ring1][Ring1][C][#N],1.85
[O][=C][Branch1][O][N][C][Branch1][Branch1][C][C][Ring1][Ring1][C][#N][C@@H1][C][C][C][C][C@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],1.99
[C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][C@@H1][C][C][C][C][C@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][Branch1][C][C][Ring1][Ring1][C][#N],1.74
[C][C@@H1][C][N][Branch2][Ring1][S][C][C][N][Ring1][=Branch1][C][=Branch1][C][=O][C@@H1][C][C][C][C][C@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][Branch1][C][C][Ring1][Ring1][C][#N][C][=C][C][=C][C][=C][Ring1][=Branch1],2.35
[C][O][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][O][C][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=Branch1][C][=O][C@@H1][C][C][C][C][C@H1][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][Branch1][C][C][Ring1][Ring1][C][#N],1.4
[O][C@@H1][Branch2][Ring1][Branch2][C][N][C][C][S][C][C][C][N][C][C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][Cl][C][=C][C][=C][Branch1][C][O][C][N][C][=Branch1][C][=O][S][C][Ring1][O][=Ring1][=Branch1],2.2
[C][C][C][=C][C][=C][Branch2][Ring2][Ring1][C][C][N][C][C][C][S][C][C][N][C][C@H1][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][N][C][=Branch1][C][=O][S][C][Ring1][O][=Ring1][=Branch1][C][=C][Ring2][Ring1][=C],0.86
[O][C@@H1][Branch2][Ring1][=C][C][N][C][C][S][C][C][C][N][C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][C][=C][C][=C][Branch1][C][O][C][N][C][=Branch1][C][=O][S][C][Ring1][O][=Ring1][=Branch1],1.21
[O][C@@H1][Branch2][Ring1][#Branch1][C][N][C][C][S][C][C][C][N][C][C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][O][C][N][C][=Branch1][C][=O][S][C][Ring1][O][=Ring1][=Branch1],0.98
[C][C][O][C][=C][C][=C][Branch2][Ring2][Ring1][C][C][N][C][C][C][S][C][C][N][C][C@H1][Branch1][C][O][C][=C][C][=C][Branch1][C][O][C][N][C][=Branch1][C][=O][S][C][Ring1][O][=Ring1][=Branch1][C][=C][Ring2][Ring1][=C],0.41
[O][C@@H1][Branch2][Ring1][Ring2][C][N][C][C][S][C][C][C][N][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][C][O][C][N][C][=Branch1][C][=O][S][C][Ring1][O][=Ring1][=Branch1],0.12
[C][C@@H1][C][N][Branch1][=Branch2][C][C@H1][Branch1][C][C][O][Ring1][#Branch1][C][=N][C][Branch1][#Branch2][N][C][C][O][C][C@@H1][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][Branch2][=N][C][Ring1][=Branch1][=N][Ring1][P][C][=C][C][=C][C][=C][Ring1][=Branch1],3.75
[C][O][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][C][O][C][=C][C][=C][C][=Branch2][Ring1][#Branch2][=N][C][=Branch1][Branch2][=N][C][Ring1][=Branch1][=N][Ring1][#Branch2][N][C][C@@H1][Branch1][C][C][O][C@@H1][Branch1][C][C][C][Ring1][Branch2][N][C][C][O][C][C][Ring1][=Branch1],3.25
