selfies,Class
[O][=C][N][Branch1][C][C][C][=Branch2][Ring1][#C][=N][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][C][C][Ring1][Ring1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][N],0
[O][=C][N][Branch1][C][C][C][=Branch2][Ring1][S][=N][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][C][C][Ring1][Ring1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N],0
[O][Branch1][Ring1][C][C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][C][Ring1][Ring1][C][N][=C][Branch1][C][N][N][Branch1][C][C][C][=Branch1][C][=O][C][=Ring1][=Branch2],0
[O][Branch1][C][C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][NH2+1][C][C@@H1][Branch1][C][O][C@@H1][Branch2][Ring2][Branch2][N][C][=Branch1][C][=O][C][C][=C][Branch2][Ring1][=Branch1][N][Branch1][Ring2][C][=Ring1][Branch1][C][=Branch1][C][=O][N][Branch1][Branch1][C][C][C][C][C][C][C][C][C][=C][C][=C][Ring2][Ring1][Ring1][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1
[S][=Branch1][C][=O][=Branch1][C][=O][Branch2][Branch1][Ring2][N][C][=C][Branch1][O][C][=C][Ring1][Branch1][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][O][C][NH2+1][C][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2][C][C][C][C],0
[O][Branch1][C][C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][NH2+1][C][C][Branch1][C][O][C][Branch2][Ring2][Branch1][N][C][=Branch1][C][=O][C][C][=C][Branch2][Ring1][Ring2][N][Branch1][Ring2][C][=Ring1][Branch1][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][C][C][C][C][C][=C][C][=C][Ring1][P][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0
[F][C][=C][C][=Branch1][=Branch2][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C][Branch2][Ring1][S][N][C][=Branch1][C][=O][C][C][=C][Branch1][S][N][Branch1][Ring2][C][=Ring1][Branch1][C][Branch1][=Branch1][O][C][C][C][C][=O][C][=C][C][=C][Ring1][#C][C][Branch1][C][O][C][NH2+1][C][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2],0
[F][C][=C][C][=Branch1][=Branch2][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C][Branch2][Ring2][Branch2][N][C][=Branch1][C][=O][C][C][=C][Branch2][Ring1][Ring1][N][Branch1][Ring2][C][=Ring1][Branch1][C][=Branch1][C][=O][N][Branch1][Branch1][C][C][C][C][C][C][=C][Branch1][Branch1][C][=C][Ring1][S][C][#N][C][Branch1][C][O][C][NH2+1][C][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2],0
[F][C][=C][C][=Branch1][=Branch2][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C@H1][Branch2][Ring2][=Branch1][N][C][=Branch1][C][=O][C][C][=C][C][=Branch2][Ring1][Branch2][=C][C][=C][Ring1][=Branch1][N][Branch1][Ring2][C][=Ring1][=Branch2][C][=Branch1][C][=O][N][Branch1][Branch1][C][C][C][C][C][C][#N][C@H1][Branch1][C][O][C][NH2+1][C][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2],1
[F][C][=C][C][=Branch1][=Branch2][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C][Branch2][Ring2][=Branch2][N][C][=Branch1][C][=O][C][C][=C][C][=Branch2][Ring1][Branch2][=C][C][=C][Ring1][=Branch1][N][Branch1][Ring2][C][=Ring1][=Branch2][C][=Branch1][C][=O][N][Branch1][Branch1][C][C][C][C][C][C][=Branch1][C][=O][O-1][C][Branch1][C][O][C][NH2+1][C][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2],1
[F][C][=C][C][=Branch1][=Branch2][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C][Branch2][Ring2][Ring2][N][C][=Branch1][C][=O][C][C][=C][Branch2][Ring1][Ring1][N][Branch1][Ring2][C][=Ring1][Branch1][C][=Branch1][C][=O][N][Branch1][Branch1][C][C][C][C][C][C][=C][C][=C][Ring1][S][C][Branch1][C][O][C][NH2+1][C][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2],1
[Cl][C][=C][C][=C][Branch2][Branch1][#C][N][Branch2][Ring2][#C][C][=C][Ring1][Branch1][C][=Branch1][C][=O][N][C][Branch1][S][C][C][=C][C][Branch1][C][F][=C][C][Branch1][C][F][=C][Ring1][Branch2][C][Branch1][C][O][C][NH2+1][C][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2][C][=Branch1][C][=O][N][Branch1][Branch1][C][C][C][C][C][C][=C][Ring2][Ring2][O],1
[F][C][=C][C][=Branch1][=Branch2][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C][Branch2][Ring2][#Branch1][N][C][=Branch1][C][=O][C][C][=C][Branch2][Ring1][Ring1][N][Branch1][Ring2][C][=Ring1][Branch1][C][=Branch1][C][=O][N][Branch1][Branch1][C][C][C][C][C][C][=C][Branch1][C][F][C][=C][Ring1][P][C][Branch1][C][O][C][NH2+1][C][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2],1
[F][C][=C][C][=Branch1][=Branch2][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C][Branch2][Ring1][S][N][C][=Branch1][C][=O][C][C][=C][Branch1][S][N][Branch1][Ring2][C][=Ring1][Branch1][C][=Branch1][C][=O][N][C][C][C][C][C][=C][C][=C][Ring1][#C][C][Branch1][C][O][C][NH2+1][C][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2],0
[O][Branch1][C][C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][NH2+1][C][C][Branch1][C][O][C][Branch2][Ring2][Ring1][N][C][=Branch1][C][=O][C][C][=C][Branch2][Ring1][C][N][Branch1][Ring2][C][=Ring1][Branch1][C][=Branch1][C][=O][N][Branch1][Ring1][C][C][C][C][C][=C][C][=C][Ring1][#C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0
[O][Branch1][C][C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][NH2+1][C][C][Branch1][C][O][C][Branch2][Ring1][O][N][C][=Branch1][C][=O][C][C][=C][Branch1][O][N][Branch1][Ring2][C][=Ring1][Branch1][C][C][C][C][C][=C][C][=C][Ring1][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0
[F][C][=C][C][=Branch1][=Branch2][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C][Branch2][Ring2][N][N][C][=Branch1][C][=O][C][C][=C][C][=Branch2][Ring1][Branch2][=C][C][=C][Ring1][=Branch1][N][Branch1][Ring2][C][=Ring1][=Branch2][C][=Branch1][C][=O][N][Branch1][Branch1][C][C][C][C][C][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][O][C][NH2+1][C][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2],0
[F][C][=C][C][=Branch1][=Branch2][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C][Branch2][Ring2][Ring2][N][C][=Branch1][C][=O][C][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][N][Branch1][Ring2][C][=Ring1][#Branch2][C][=Branch1][C][=O][N][Branch1][Branch1][C][C][C][C][C][C][Branch1][C][O][C][NH2+1][C][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2],1
[F][C][=C][C][=Branch1][=Branch2][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C][Branch2][Ring2][Branch2][N][C][=Branch1][C][=O][C][C][=C][Branch2][Ring1][=Branch1][N][Branch1][Ring2][C][=Ring1][Branch1][C][=Branch1][C][=O][N][Branch1][Branch1][C][C][C][C][C][C][C][C][C][=C][C][=C][Ring2][Ring1][Ring1][C][Branch1][C][O][C][NH2+1][C][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2],1
[O][C][C][Branch1][=Branch1][N][=C][Ring1][Branch1][N][C][=C][C][=Branch2][Ring1][Branch1][=C][C][=C][Ring1][=Branch1][O][C][=C][Ring1][=N][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C],0
[O][C][C][Branch1][=Branch1][N][=C][Ring1][Branch1][N][C][=C][C][=Branch2][Ring1][Branch1][=C][C][=C][Ring1][=Branch1][O][C][=C][Ring1][=N][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C],0
[Cl][C][=C][C][Branch2][Ring2][Branch2][C][=C][C][=C][Branch2][Ring1][N][O][C][=C][Branch1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][Ring1][N][N][=C][Branch1][Branch1][O][C][Ring1][Branch1][N][C][=C][Ring2][Ring1][Branch1][=C][Branch1][C][F][C][=C][Ring2][Ring1][N][C],0
[O][C][C][Branch1][=Branch1][N][=C][Ring1][Branch1][N][C][=C][C][=Branch2][Ring1][Branch1][=C][C][=C][Ring1][=Branch1][O][C][=C][Ring1][=N][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C],0
[Cl][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch2][Ring1][N][O][C][=C][Branch1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][Ring1][N][N][=C][Branch1][Branch1][O][C][Ring1][Branch1][N][C][=C][Ring2][Ring1][Branch1],0
[Cl][C][=C][C][=C][C][Branch2][Ring2][Branch2][C][=C][C][=C][Branch2][Ring1][N][O][C][=C][Branch1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][Ring1][N][N][=C][Branch1][Branch1][O][C][Ring1][Branch1][N][C][=C][Ring2][Ring1][Branch1][=C][Ring2][Ring1][O][F],0
[O][C][C][Branch1][=Branch1][N][=C][Ring1][Branch1][N][C][=C][C][=Branch2][Ring1][Branch1][=C][C][=C][Ring1][=Branch1][O][C][=C][Ring1][=N][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1],0
[F][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][C][=C][Branch2][Ring1][N][O][C][=C][Branch1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][Ring1][N][N][=C][Branch1][Branch1][O][C][Ring1][Branch1][N][C][=C][Ring2][Ring1][Branch1],0
[F][C][=C][Branch1][=Branch2][C][=C][C][=C][Ring1][=Branch1][O][C][C][=C][C][=C][Branch2][Ring1][N][O][C][=C][Branch1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][Ring1][N][N][=C][Branch1][Branch1][O][C][Ring1][Branch1][N][C][=C][Ring2][Ring1][Branch1],0
[F][C][Branch1][C][F][Branch1][C][F][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch2][Ring1][N][O][C][=C][Branch1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][Ring1][N][N][=C][Branch1][Branch1][O][C][Ring1][Branch1][N][C][=C][Ring2][Ring1][Branch1],0
[F][C][Branch1][C][F][Branch1][C][F][O][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch2][Ring1][N][O][C][=C][Branch1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][Ring1][N][N][=C][Branch1][Branch1][O][C][Ring1][Branch1][N][C][=C][Ring2][Ring1][Branch1],0
[Cl][C][=C][C][Branch2][Ring2][Branch2][C][=C][C][=C][Branch2][Ring1][N][O][C][=C][Branch1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C@@][Ring1][N][N][=C][Branch1][Branch1][O][C][Ring1][Branch1][N][C][=C][Ring2][Ring1][Branch1][=C][Branch1][C][F][C][=C][Ring2][Ring1][N],0
[Cl][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch2][Ring1][N][O][C][=C][Branch1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][Ring1][N][N][=C][Branch1][Branch1][O][C][Ring1][Branch1][N][C][=C][Ring2][Ring1][Branch1],0
[Cl][C][=C][C][Branch1][C][F][=C][Branch1][Branch1][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch2][Ring1][N][O][C][=C][Branch1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][Ring1][N][N][=C][Branch1][Branch1][O][C][Ring1][Branch1][N][C][=C][Ring2][Ring1][Branch1],0
[Cl][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch2][Ring1][N][O][C][=C][Branch1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][Ring1][N][N][=C][Branch1][Branch1][O][C][Ring1][Branch1][N][C][=C][Ring2][Ring1][Branch1],0
[S][C][=C][N][=C][Ring1][Branch1][C][=C][C][=Branch1][=Branch2][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C][Branch1][=Branch2][N][C][=Branch1][C][=O][C][O][C][C][Branch1][C][O][C][NH2+1][C][C][C][Branch2][Ring1][#Branch1][O][C][=N][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Ring1][S],1
[S][C][=C][N][=C][Ring1][Branch1][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C][Branch1][#Branch1][N][C][=Branch1][C][=O][C][C][Branch1][C][O][C][NH2+1][C][C][C][Branch2][Ring1][#Branch1][O][C][=N][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Ring1][S],1
[S][C][=C][N][=C][Ring1][Branch1][C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][F][C][C][Branch1][=Branch2][N][C][=Branch1][C][=O][C][O][C][C][Branch1][C][O][C][NH2+1][C][C][C][Branch2][Ring1][#Branch1][O][C][=N][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Ring1][S],1
[S][C][=C][N][=C][Ring1][Branch1][C][=C][C][Branch2][Branch1][Ring2][C][C][Branch1][=Branch2][N][C][=Branch1][C][=O][C][O][C][C][Branch1][C][O][C][NH2+1][C][C][C][Branch2][Ring1][#Branch1][O][C][=N][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Ring1][S][=C][Branch1][C][F][C][=C][Ring2][Ring2][Branch1],1
[S][C][=C][N][=C][Ring1][Branch1][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C][Branch1][=Branch2][N][C][=Branch1][C][=O][C][O][C][C][Branch1][C][O][C][NH2+1][C][C][C][Branch2][Ring1][#Branch1][O][C][=N][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Ring1][S],1
[S][C][=C][N][=C][Ring1][Branch1][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C][Branch1][=N][N][C][=Branch1][C][=O][C][Branch1][Ring1][O][C][O][C][C][Branch1][C][O][C][NH2+1][C][C][C][Branch2][Ring1][#Branch1][O][C][=N][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Ring1][S],1
[S][C][=C][N][=C][Ring1][Branch1][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C][Branch1][Branch2][N][C][=Branch1][C][=O][C][C][C][Branch1][C][O][C][NH2+1][C][C][C][Branch2][Ring1][#Branch1][O][C][=N][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Ring1][S],1
[S][C][=C][N][=C][Ring1][Branch1][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C][Branch1][N][N][C][=Branch1][C][=O][C@@H1][Branch1][Ring1][O][C][C][C][Branch1][C][O][C][NH2+1][C][C][C][Branch2][Ring1][#Branch1][O][C][=N][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Ring1][S],1
[S][C][=C][N][=C][Ring1][Branch1][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C][Branch1][=N][N][C][=Branch1][C][=O][C][Branch1][Ring2][O][C][C][C][C][Branch1][C][O][C][NH2+1][C][C][C][Branch2][Ring1][#Branch1][O][C][=N][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Ring1][S],1
[S][C][=C][N][=C][Ring1][Branch1][C][=C][C][=C][C][Branch2][Branch1][Ring2][C][C][Branch1][=Branch2][N][C][=Branch1][C][=O][C][O][C][C][Branch1][C][O][C][NH2+1][C][C][C][Branch2][Ring1][#Branch1][O][C][=N][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Ring1][S][=C][Ring2][Ring2][Ring2][F],1
[S][C][=C][N][=C][Ring1][Branch1][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C@H1][Branch1][N][N][C][=Branch1][C][=O][C@H1][Branch1][Ring1][O][C][C][C@H1][Branch1][C][O][C][NH2+1][C@H1][C][C][Branch2][Ring1][#Branch1][O][C][=N][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Ring1][S],1
[S][C][=C][Branch2][=Branch1][C][N][=C][Ring1][Branch1][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C][Branch1][=Branch2][N][C][=Branch1][C][=O][C][O][C][C][Branch1][C][O][C][NH2+1][C][C][C][Branch2][Ring1][#Branch1][O][C][=N][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Ring1][S][C],1
[S][C][=C][N][=C][Ring1][Branch1][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C][Branch1][#Branch2][N][C][=Branch1][C][=O][C][O][C][C][C][Branch1][C][O][C][NH2+1][C][C][C][Branch2][Ring1][#Branch1][O][C][=N][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Ring1][S],1
[S][C][=C][N][=C][Ring1][Branch1][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][C][C][Branch1][O][N][C][=Branch1][C][=O][C][Branch1][C][O][C][C][Branch1][C][O][C][NH2+1][C][C][C][Branch2][Ring1][#Branch1][O][C][=N][C][=C][Branch1][#Branch1][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Ring1][S],1
[S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][Branch1][#C][N][Ring1][#Branch1][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][C][C][Branch2][Ring1][=Branch2][NH1+1][Branch1][Branch1][C][C][Ring1][=C][C][C][=C][C][Branch1][#Branch1][O][C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch2][C],0
[S][=Branch1][C][=O][=Branch1][C][=O][N][Branch2][Ring2][N][C@][Branch2][Ring2][C][C][C@@H1][Branch2][Ring1][N][N@H1+1][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][=C][C][Branch1][#Branch1][O][C][Branch1][C][C][C][=C][Branch1][C][O][C][=C][Ring1][O][C][C][N][Ring2][Ring1][=Branch2][C][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1],1
[S][=Branch1][C][=O][=Branch1][C][=O][N][Branch2][Ring2][#Branch2][C][Branch2][Ring1][#C][C][C][Branch2][Ring1][=Branch2][NH1+1][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][=C][C][Branch1][#Branch1][O][C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch2][C][C][N][Ring2][Ring1][Branch2][C][C][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1],0
[S][=Branch1][C][=O][=Branch1][C][=O][N][Branch2][Ring2][=Branch2][C][Branch2][Ring1][#C][C][C][Branch2][Ring1][=Branch2][NH1+1][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][=C][C][=C][Branch1][#Branch1][N][C][=Branch1][C][=O][C][C][=C][Ring1][#Branch2][C][C][N][Ring2][Ring1][Branch2][C][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1],0
[S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][Branch1][#C][N][Ring1][#Branch1][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][C][C][Branch2][Ring1][=Branch1][NH1+1][Branch1][Branch1][C][C][Ring1][=C][C][C][=C][C][Branch1][Ring2][O][C][C][=C][C][=C][Ring1][=Branch2][C],0
[S][=Branch1][C][=O][=Branch1][C][=O][N][Branch2][Ring2][=N][C][Branch2][Ring1][#C][C][C][Branch2][Ring1][=Branch2][NH1+1][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][=C][C][Branch1][#Branch1][O][C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch2][C][C][N][Ring2][Ring1][Branch2][C][Branch1][C][C][C][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1],0
[S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][Branch1][#C][N][Ring1][#Branch1][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][C][C][Branch2][Ring1][#Branch2][NH1+1][Branch1][Branch1][C][C][Ring1][=C][C][C][=C][C][Branch1][Branch2][O][C][C][Branch1][C][C][C][=C][C][=C][Ring1][O][C],0
[S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][Branch1][#C][N][Ring1][#Branch1][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][C][C][Branch1][P][NH1+1][Branch1][Branch1][C][C][Ring1][=C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C],0
[S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][Branch1][#C][N][Ring1][#Branch1][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][C][C][Branch2][Ring1][#Branch1][NH1+1][Branch1][Branch1][C][C][Ring1][=C][C][C][=C][C][Branch1][Branch1][O][C][C][C][=C][C][=C][Ring1][#Branch2][C],0
[S][=Branch1][C][=O][=Branch1][C][=O][N][Branch2][Ring2][=Branch2][C][Branch2][Ring1][#C][C][C][Branch2][Ring1][=Branch2][NH1+1][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][=C][C][Branch1][Ring2][O][C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch2][C][C][N][Ring2][Ring1][Branch2][C][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1],0
[S][=Branch1][C][=O][=Branch1][C][=O][N][Branch2][Ring2][=Branch2][C@][Branch2][Ring1][#C][C][C@@H1][Branch2][Ring1][=Branch2][N@H1+1][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][=C][C][Branch1][#Branch1][O][C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch2][C][C][N][Ring2][Ring1][Branch2][C][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1],0
[S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][Branch1][#C][N][Ring1][#Branch1][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][C][C][Branch2][Ring1][Branch1][NH1+1][Branch1][Branch1][C][C][Ring1][=C][C][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Ring1][Branch2][C],0
[S][=Branch1][C][=O][=Branch1][C][=O][N][Branch2][Ring2][Ring2][C][Branch2][Ring1][#Branch2][C][C][Branch2][Ring1][Ring2][NH1+1][Branch1][Branch1][C][C][Ring1][=Branch1][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C][N][Ring2][Ring1][Branch1][C][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1],0
[Cl][C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][C][NH1+1][C][C][C][Branch2][Ring1][=N][N][Branch1][#C][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][Ring2][C][Ring1][#Branch1][C][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][C][C][Ring2][Ring1][Ring2][C],0
[Cl][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][Branch2][Ring1][Ring1][C][C][=N][C][Branch1][C][N][=C][Branch1][Branch1][O][C][C][O][C][=C][Ring1][O][C][=Branch1][Branch1][=C][C][=Ring1][P][C][=C][C][=C][Branch1][#Branch1][O][C][C][C][C][C][C][=C][Ring1][N],0
[O][=C][Branch1][Branch1][N][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][Branch1][=N][C][C][=N][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C][=Branch1][Branch1][=C][C][=Ring1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1],0
[O][=C][Branch1][=Branch1][N][C][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][Branch1][=N][C][C][=N][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C][=Branch1][Branch1][=C][C][=Ring1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1],0
[O][=C][Branch1][Ring2][N][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][Branch1][=N][C][C][=N][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C][=Branch1][Branch1][=C][C][=Ring1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1],0
[O][=C][Branch1][#Branch1][N][C][Branch1][C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][Branch1][=N][C][C][=N][C][Branch1][C][N][=C][C][=C][Ring1][#Branch1][C][=Branch1][Branch1][=C][C][=Ring1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1],0
